Distancia_10;Distancia_50;Distancia_100;Distancia_500;Distancia_1000;Distancia_2000;Distancia_5000
1.3345;2.59659;4.14638;9.14457;12.9719;18.531;29.021
1.41321;2.9641;4.1821;9.1957;12.7673;18.488;28.7078
1.44152;2.7599;4.27031;9.42249;13.0446;18.2398;28.8283
1.24577;2.6834;4.12918;9.21582;12.7386;18.0156;28.7084
1.47139;2.82276;4.16664;9.72496;12.6453;18.1933;29.0581
1.32235;2.76004;4.28397;9.30379;13.0253;18.3446;29.4477
1.10323;2.58168;4.06629;9.14534;12.8749;18.3106;28.8595
0.922647;2.9381;4.15525;9.28757;12.9368;18.5662;28.9194
1.26774;2.86558;3.78533;9.27404;12.8397;18.3316;28.8104
1.3123;3.04785;3.84222;9.48856;12.6631;18.149;28.7907
1.33838;2.48885;3.77435;9.35058;13.2243;17.9378;29.1835
1.09351;2.41532;4.04875;9.66812;12.9388;18.4317;29.1341
1.32455;2.68782;3.80062;9.20425;12.7592;17.9111;29.307
1.11796;3.08835;4.09364;8.84569;12.967;18.473;29.2336
1.22741;2.64738;3.99806;9.58094;12.9566;18.472;29.216
1.20999;3.34583;4.12203;9.1131;13.6236;18.7863;29.0226
0.888429;2.56992;3.81365;9.60801;13.1943;18.3028;29.5322
1.66413;2.80099;4.01194;9.46296;13.1045;18.0117;28.7726
1.02121;2.74045;3.96329;9.36533;13.3831;18.2227;29.112
0.684753;2.68981;4.41271;9.72234;12.4093;18.1339;28.9145
1.59266;2.498;4.2082;9.15287;12.9055;18.5695;29.0481
1.21661;2.83685;3.53315;9.12733;12.8459;18.5955;29.4408
1.04362;2.81079;4.41491;9.11903;13.0377;18.5325;28.6982
1.17502;2.67571;3.92741;9.57185;13.0569;18.153;29.3186
1.15911;2.8192;4.06195;9.02414;13.0129;18.583;29.2579
1.28318;2.90104;4.0761;9.45323;12.9089;18.1423;28.716
1.69379;3.18741;4.27266;9.05997;12.8344;18.4261;28.6792
1.41073;3.14813;4.21595;9.63468;12.8647;18.1698;28.702
1.07317;3.35057;3.87353;9.71568;13.3727;18.1349;28.4619
1.12893;2.54411;3.80359;9.70909;12.774;18.3308;28.6801
1.05571;2.38551;4.56979;8.99258;12.6896;18.076;28.8331
1.02833;2.77031;4.18746;9.34458;12.781;18.0185;29.1069
1.37939;2.98957;4.3016;9.49363;12.9855;18.309;28.8975
1.00047;2.55299;3.95248;8.732;12.7253;18.4605;28.5168
1.06597;2.95045;4.22616;9.56114;12.8077;18.5112;29.0336
1.02583;3.02844;4.20549;9.3846;13.0087;18.2607;28.8602
1.28198;3.21401;3.90743;9.30659;13.1317;18.267;28.6751
1.2775;2.76218;4.37047;9.569;12.9063;18.749;29.2233
1.42915;3.12531;3.74617;9.25344;13.0451;18.581;28.826
1.31226;2.71066;3.89144;9.16781;13.1388;18.0457;28.984
1.30918;2.93122;4.38709;9.48903;13.2042;17.7399;29.0751
1.27458;3.13496;3.72383;9.13916;13.0765;18.284;28.7093
1.02972;2.92195;4.27367;9.33002;12.9374;18.1531;28.6313
1.29944;2.66367;4.30585;9.33924;12.711;17.8756;28.9156
1.41799;3.14738;4.07886;9.11639;12.3966;17.7397;29.2899
1.3718;2.84666;4.09243;9.23956;13.0116;18.0725;28.4924
1.42733;2.8224;4.28562;9.32464;13.0196;18.153;29.076
1.26237;2.91267;4.43987;9.18027;12.7927;18.392;28.7326
1.19451;3.06245;4.1063;9.10847;12.9958;18.4399;29.1066
1.36845;2.75987;4.01227;9.07284;12.9516;18.0656;28.9744
0.963669;2.82362;4.09438;9.77085;13.2245;18.4032;28.8513
1.09305;3.03716;3.94655;9.40603;12.4041;18.74;28.8756
1.22999;2.54674;4.4469;9.19527;12.7555;18.1614;29.1533
1.33199;2.78081;4.12669;9.27538;12.7043;18.1676;29.1123
1.2252;2.77946;4.11633;9.15299;12.6036;18.4331;29.0183
1.43146;2.73803;4.06901;9.38662;12.9137;18.2041;28.9328
1.2317;2.32954;3.78747;9.74218;13.0115;18.3903;28.7895
1.59837;2.79928;4.25812;9.43936;13.3434;18.1429;29.1531
1.2869;2.96991;3.83012;9.07189;12.9663;18.5184;28.8285
1.23539;2.66761;4.27016;9.80777;12.661;18.0921;29.2396
0.847583;3.02695;4.17887;9.56662;13.1236;18.4976;28.8297
1.55619;3.14105;3.9894;9.24224;12.9627;18.3555;28.7497
1.71824;3.03696;4.28239;9.18495;12.8941;18.3354;29.183
1.3466;2.99969;3.77402;9.23393;12.6876;18.2612;28.8962
1.40258;3.24068;4.0309;8.92924;12.8063;18.5395;29.2903
1.61954;3.08053;4.18666;9.26345;12.5295;18.4072;28.8306
1.48373;2.96697;3.54639;9.60088;13.4608;18.5287;28.4741
1.57075;2.56608;4.46655;9.40905;13.1206;18.2895;28.7837
1.39376;2.91982;4.03997;9.65426;12.9116;18.1419;28.5204
1.30316;2.26349;4.10788;9.28365;12.8777;18.3;28.5405
1.4445;2.92377;3.64321;9.25201;12.9948;18.1203;28.9031
1.53523;2.84554;3.7349;9.32428;12.7956;18.188;28.954
1.19063;3.19099;3.78567;9.3152;12.8425;18.5469;28.7448
1.48759;3.28548;4.03942;9.74483;13.0626;18.3376;28.7537
1.42417;2.84743;4.16653;9.30899;13.1204;18.62;28.7735
1.62723;2.68928;4.40802;9.52123;12.7233;18.3805;28.7346
1.61839;3.06438;3.80264;9.41545;13.0915;18.0102;28.758
1.10826;2.69401;4.21397;8.99768;13.0142;18.421;28.587
1.14673;2.99187;4.101;9.72823;13.3751;18.3069;29.2842
1.21247;2.53137;4.12656;9.07872;12.9795;18.4164;28.6725
1.03456;2.59664;4.29307;9.31645;12.775;18.2173;29.0989
0.985032;3.04069;4.17476;9.39256;13.2449;18.1214;28.8867
1.09649;2.97041;4.01547;9.08217;12.854;17.7659;28.8994
1.40707;2.73473;3.92823;9.19004;13.208;18.6386;28.4403
1.36465;2.78931;4.64412;9.4292;13.0172;18.6541;28.6933
1.11599;3.02492;4.12808;8.84353;12.6265;18.2385;29.0206
0.701385;2.88532;4.1613;9.42442;13.208;18.2591;29.1589
0.783574;2.80411;4.37111;9.591;12.7071;18.5017;29.2758
1.28654;3.13097;4.26696;8.97346;13.2206;18.2385;28.7619
1.25897;2.78944;3.97276;9.59166;12.7927;18.6501;29.2684
1.56371;3.01439;4.26369;9.42508;12.8638;18.6699;29.0628
1.54036;2.94037;4.18659;9.31449;13.3119;18.4447;28.7703
1.21751;3.12872;3.56744;9.41404;13.251;18.2369;28.9555
1.53008;2.60548;4.25102;9.0074;12.6636;18.5169;28.7292
1.50127;2.81408;4.48642;9.69613;12.664;18.1647;29.253
1.67865;3.05502;4.13861;9.46287;12.9628;18.5759;29.0667
1.22578;3.21046;4.09772;8.68134;13.3934;18.3997;29.0934
1.3792;2.94663;4.45657;9.39969;12.9514;18.069;28.6306
1.44844;2.80133;3.98704;9.12606;12.7115;18.6224;28.9177
1.35334;3.21718;3.97257;8.90738;12.7634;18.6079;29.1097
1.24601;3.27164;4.00546;9.51327;13.1393;17.8982;28.9303
1.3882;2.59954;3.95982;9.33524;12.6887;18.4358;28.9058
0.84046;3.02888;3.98729;9.40456;12.8257;17.9685;28.8182
0.803613;3.1338;3.80494;9.42801;12.7802;18.2899;29.2569
1.06228;2.69511;4.39784;9.28801;12.7811;18.6239;29.2348
1.4744;2.60581;4.33493;9.33322;13.1841;18.1441;28.7874
0.489122;2.85143;3.78519;9.56742;12.919;18.18;29.1627
1.06471;2.53362;4.27139;9.35554;12.9866;18.3779;29.2989
0.974243;2.55822;3.89344;9.08583;13.0858;18.4762;28.6618
1.15897;2.80077;3.8592;9.65579;13.0202;18.3211;28.8138
1.44912;2.95244;3.89888;9.51215;12.8637;18.5909;29.1221
1.61695;2.52;4.26108;9.1633;12.9072;18.5039;29.02
1.37977;2.53264;4.19615;9.03204;13.1699;18.2238;29.5086
1.1546;2.7784;4.26906;9.15899;13.0788;18.4215;28.9732
1.32697;3.00832;4.13401;9.13086;12.7387;18.1678;28.8909
1.26598;2.97022;4.61839;8.71967;13.14;18.2837;28.6742
1.21486;3.07566;4.79524;8.92566;13.1407;18.438;28.8914
1.45846;3.02728;4.06358;9.09875;12.8366;18.2253;29.1405
1.23182;3.17784;4.12759;8.72788;13.183;18.6015;29.0579
1.01706;2.98234;4.25613;9.17205;13.2546;18.1532;28.7838
1.16102;2.91157;3.917;9.29588;13.113;18.0654;28.7045
1.10842;2.75191;4.33407;9.30707;13.3578;18.239;29.0973
1.38756;2.89994;4.29942;9.25982;12.7348;18.436;29.0332
1.66996;2.77962;4.14293;9.03576;13.284;18.1769;29.0727
1.164;3.22225;4.13608;8.96991;13.3493;18.2361;28.8272
1.10165;3.23215;4.09618;9.10909;13.1236;18.2969;28.6223
1.20914;3.13354;4.19701;8.91021;12.7388;18.4308;28.7549
1.20823;3.0802;4.0649;9.10714;12.8055;18.2649;28.7771
1.10971;2.7589;4.20013;9.1944;13.0897;18.01;28.8865
0.921262;2.87495;4.65928;8.98611;12.8468;17.8888;29.0514
1.56745;2.84391;4.29903;8.55068;12.506;17.9003;29.1809
1.25618;2.75442;4.30348;9.2008;13.072;18.2594;29.0319
1.02974;3.06591;4.30024;9.23617;12.5532;18.3053;29.0464
0.91289;2.9529;4.35384;9.41451;13.2177;18.2936;28.7515
0.708526;2.90047;4.51465;9.36324;12.7045;18.8225;29.0083
1.06743;3.4727;4.05235;9.10632;13.0431;18.2647;29.0798
1.15764;3.30449;4.0988;9.27825;12.7982;18.4899;28.8402
1.34359;2.96866;4.03191;9.18476;12.871;17.653;29.0215
1.27407;3.15547;4.32022;8.85794;13.4473;18.4509;29.0578
1.26565;2.87688;4.54127;9.04844;13.0811;18.1788;28.6849
0.906812;2.85427;3.90173;8.79532;12.9761;18.2093;28.8564
1.22746;2.94332;3.87383;8.97927;12.9134;17.9832;29.0095
1.45078;2.69867;4.18399;9.04759;12.5962;18.3106;28.6782
1.56834;3.08141;4.33835;9.46454;13.1441;18.3531;28.8491
0.992819;2.79904;4.33937;8.95991;12.9472;18.112;28.8362
1.23172;2.70933;3.88333;9.09616;13.5037;18.7873;29.2082
1.21156;3.22439;4.18041;9.17585;12.5677;18.1975;29.1386
1.19137;2.71088;4.72012;9.36581;12.6714;18.3428;29.1112
0.670882;2.68343;4.05239;8.79359;12.962;18.4178;29.2363
1.20325;2.81606;3.85113;9.06364;12.9016;17.723;28.9989
0.967708;3.21174;4.22066;8.91758;13.0079;18.4042;29.3038
1.1786;2.58664;4.45472;8.66279;12.8252;18.113;28.9317
1.70828;2.86114;3.8418;9.04484;12.8223;18.1146;29.1846
1.33694;2.7776;4.28673;9.32549;13.2063;17.8094;28.7725
1.34996;3.31072;4.18529;9.17342;12.8825;17.9857;28.5496
0.998673;3.63357;4.05282;9.22974;12.4725;18.1757;28.9977
0.932842;2.90282;4.30815;9.24625;12.8147;18.4551;28.9096
1.11222;3.11193;4.57711;9.05085;12.8892;18.1063;29.1103
1.1655;3.14248;4.3206;9.15903;12.6317;18.4211;28.9246
1.39442;3.03458;4.29284;9.09608;12.7004;18.3655;29.1729
1.13446;2.50672;4.00073;9.09331;12.8773;18.487;28.917
1.31861;3.23836;4.5062;9.05971;12.7591;18.205;29.2473
1.22872;2.95295;4.22536;8.86517;13.0724;17.8598;28.9624
1.32527;2.73848;3.95197;9.13175;13.0153;18.1789;29.1677
1.06935;3.008;4.61525;9.32015;13.1797;18.4605;28.7876
1.43639;2.74926;4.04173;9.13436;13.2246;18.5009;28.6371
1.35737;2.70241;4.26429;9.09233;13.2695;18.0654;28.7532
1.82058;2.50227;4.16164;9.19274;12.7156;18.1963;28.8511
1.73676;3.35107;3.54265;8.81932;12.6212;17.9079;29.0131
1.23971;2.84871;4.11241;8.95834;13.3795;18.346;28.7868
1.46823;2.92341;4.44711;9.15532;12.8416;18.107;28.4214
1.50839;2.94375;4.24626;8.95867;12.8887;18.3312;29.0232
1.65431;2.90301;4.40736;8.87086;12.6512;18.121;28.9964
1.13405;3.23916;3.98289;8.95319;13.0995;18.2287;28.9501
1.43097;3.10309;4.50733;9.46043;12.6672;18.3148;28.6135
1.13697;2.70142;4.14437;9.16456;13.3029;18.0032;28.9859
1.01043;2.94785;3.96031;8.73098;12.8309;18.5228;29.2597
1.57765;3.11694;4.2362;9.45185;13.1233;18.1317;29.0869
1.44923;2.60599;4.54575;9.19227;13.3248;18.5089;28.7202
1.42987;3.45344;4.14471;9.08979;13.1218;18.1106;28.7179
1.41311;2.32599;4.07085;8.85939;12.8692;18.3591;28.9202
1.47195;2.81824;4.48024;8.79721;13.2484;18.1287;28.9224
1.21194;3.0412;4.41673;9.00578;13.0982;17.9122;29.2484
1.25847;2.91623;4.62386;9.33254;12.8952;18.1281;28.6636
1.29363;2.85268;4.24615;9.21386;13.0952;18.3375;29.0246
1.07838;2.57906;4.14534;9.1115;12.7178;18.1879;28.7516
0.847371;3.06681;4.45348;8.86629;13.2086;18.3096;29.2445
1.62029;2.9911;4.13378;8.92222;12.5362;18.6721;28.6965
1.11059;3.37995;3.99673;8.95611;13.0339;18.3244;28.3639
1.26683;2.77729;4.04644;8.84748;12.9946;18.4017;28.582
1.54424;2.91478;4.04534;8.81183;13.4969;18.4543;29.1443
0.88725;2.95425;4.55436;9.20248;12.7096;18.0782;29.3206
1.6377;2.41155;4.39329;9.02911;12.9108;18.3856;29.1879
1.04511;3.03287;4.20541;8.9609;12.989;18.1608;29.237
1.2581;2.93495;4.56512;9.12656;12.7019;18.4531;29.0269
1.21129;2.93072;3.8822;9.34189;13.2374;18.1998;29.1209
1.41612;2.90277;4.33281;8.66567;12.9892;18.3241;29.1957
1.16503;2.9557;4.50979;9.36042;13.4077;18.0899;28.8548
1.37307;2.9693;4.19028;9.47839;12.8089;17.9361;28.855
1.30544;3.07087;4.26416;9.04853;12.7505;18.2234;29.0379
1.12703;2.86027;4.2966;9.23585;12.5981;17.9836;29.279
1.15494;2.86623;4.10897;8.68317;12.8851;18.1559;28.9317
1.15194;2.55658;4.40526;9.19304;13.0594;18.0637;29.0774
0.899304;2.88725;4.15052;9.21379;12.8771;18.2618;28.9907
0.575386;3.11234;4.88895;9.04329;12.3878;18.5542;29.2051
0.467675;2.59311;3.99092;9.08043;12.932;18.5268;28.7434
1.16094;2.81182;4.2161;9.24392;12.9984;18.0273;28.7725
1.43679;3.24248;4.16786;9.33353;13.0048;18.3021;29.2531
1.25794;2.79783;3.76782;9.26071;12.8223;18.6515;28.9464
0.784332;2.59562;3.98004;8.80492;13.4047;18.233;28.9399
1.13468;2.86786;3.94555;9.0035;12.8075;17.9318;28.4897
0.797206;2.69687;4.25216;8.69167;12.8687;18.1121;28.5884
1.1178;2.86528;4.36994;9.36745;13.1975;18.4429;28.4593
1.5661;2.55186;4.03901;9.05954;12.9378;17.9664;29.0591
1.27178;2.77554;4.0193;9.63151;12.8438;18.2674;29.0546
1.19325;2.85075;4.13407;8.96011;13.2751;18.1012;28.268
1.23555;2.63466;4.10082;9.19693;12.9037;18.1173;28.5605
1.56369;2.58133;4.235;9.572;12.9843;18.5976;28.9226
1.38291;2.88855;3.71986;8.92661;12.9604;18.7186;28.8694
1.30388;2.62164;4.25039;8.71967;13.1616;18.029;28.8187
1.75474;2.66945;4.31174;9.00119;12.8673;18.4647;28.4553
1.43219;2.69725;4.38213;9.20821;13.045;18.1802;28.2956
1.28141;2.79424;3.52609;9.09777;12.8996;18.1328;29.127
0.93178;2.21019;3.87879;9.2335;12.8495;18.1375;28.7097
1.1302;2.40338;3.95605;9.76852;13.1548;18.3354;28.7994
1.38415;2.42313;3.9073;9.21898;12.699;17.9682;28.5568
1.56976;2.63303;4.47453;8.92778;12.7373;18.4061;28.6854
0.928097;2.5226;4.2667;9.28873;12.9522;17.9812;28.9522
1.40771;2.78334;4.14011;9.10621;13.1086;18.4343;28.6984
1.62597;2.44327;4.46093;9.06977;13.2908;18.3075;28.9719
1.19667;2.93002;4.29206;9.02435;12.4042;18.9965;28.9973
1.4132;3.38839;3.83227;9.07576;12.8068;18.0272;28.7311
1.29622;2.55734;4.22181;9.39408;12.9142;18.3399;28.904
1.24716;2.73688;4.04776;9.31036;13.1982;18.5704;29.1164
1.4711;3.16091;4.6043;9.41663;12.8913;18.1888;28.9354
0.960243;2.57158;3.94306;9.24959;12.8984;18.0544;28.6527
1.48384;2.57442;3.97626;9.19535;12.8592;18.2423;29.0597
1.34265;2.62945;3.84134;9.08034;13.0625;18.1654;28.5868
1.18928;2.71934;3.7563;9.26781;12.9143;17.9846;28.1542
1.23293;2.91032;4.35426;9.331;12.949;18.2404;28.7324
1.81901;2.69471;4.26049;9.14332;13.1308;18.2812;29.0125
0.931384;2.56647;3.61883;9.02345;13.4782;18.2609;29.4454
1.18115;2.75832;4.3535;8.82719;12.5762;18.01;28.9493
1.21476;2.79971;4.64347;9.07859;13.2837;18.9256;29.1243
1.67456;2.74864;4.40565;8.89827;12.8497;18.0478;28.8296
1.05805;2.72949;4.22295;9.02957;13.0934;18.1286;28.6508
1.37326;2.72358;4.27348;9.18902;12.7384;18.3553;28.8954
1.38401;2.78612;4.10198;8.97632;13.1181;18.4063;28.9783
1.14835;2.59498;3.88939;9.30902;13.0687;18.6589;28.5367
1.08785;2.46844;3.96441;9.20053;12.8737;18.2395;28.3172
1.42277;2.93043;4.13135;8.85391;12.7175;18.3962;28.7561
1.42138;3.11309;4.45265;9.15264;13.0174;18.3573;28.3854
1.71839;2.72666;4.32295;9.03936;12.7773;17.9744;29.0967
1.04455;2.77545;4.27363;9.17178;12.7019;18.2781;29.064
1.50242;2.95771;4.21316;8.95605;13.0195;18.3816;29.2077
1.57815;2.83256;4.29076;8.96709;13.2076;18.1798;28.7874
1.53316;2.5313;4.10283;9.37197;12.8157;18.0885;28.953
1.20408;2.9289;4.15707;8.42542;12.8209;18.1698;28.8837
1.41873;2.87748;4.10684;8.95237;13.0554;18.1806;28.7799
1.56778;2.89281;3.73021;9.26239;13.1659;18.3724;29.2002
1.78986;2.52784;4.00593;9.13802;13.218;18.0431;28.8303
1.50547;2.49357;4.22177;9.06654;12.9198;18.2611;28.8248
1.55574;2.59317;4.31576;8.54283;12.6837;18.3147;28.7207
1.44834;2.41391;4.09046;9.26317;13.01;18.1529;28.9631
1.25885;2.86791;4.11707;9.18969;12.8393;18.2672;28.6767
1.23478;2.60032;4.01196;9.20985;12.8508;18.2514;28.9738
1.21058;2.76937;3.75063;9.34034;12.9425;18.3387;28.8701
1.39949;2.29401;3.97356;9.11111;12.881;18.5047;29.0886
1.21136;2.65465;4.32848;9.01039;12.9016;17.8495;28.8536
1.33713;2.96117;3.81599;9.06448;12.9836;18.0882;28.9449
0.977945;2.97346;4.41657;8.65518;12.6399;18.0958;28.7812
1.42087;2.54352;3.91127;8.84321;13.1947;18.1629;29.1528
1.54704;2.44928;4.37321;8.82123;12.5812;18.0567;29.1011
0.917472;2.32443;4.24193;9.06678;12.6382;18.2764;28.9191
0.664365;2.75794;4.14784;8.87287;13.0803;18.2996;28.6905
0.872766;2.90246;4.22956;9.17695;13.2229;18.0166;28.9404
1.40876;2.48498;4.04145;9.1729;13.1576;18.2267;28.7145
1.26917;2.42499;4.53235;8.95707;12.9539;18.6279;28.5065
0.693588;2.32302;4.2762;9.15123;12.904;17.9676;28.897
1.01224;2.76623;4.0222;9.05443;12.8171;18.1513;28.9323
1.28601;2.84736;4.09804;9.1561;13.3393;18.2149;28.8167
1.26658;2.66907;3.87612;9.10347;13.2186;18.349;28.9634
1.81947;2.72237;4.31618;9.14605;13.0514;18.3874;29.037
1.19274;2.84689;4.2023;8.82933;13.0955;18.2907;28.7308
1.49125;2.5836;4.1215;8.85658;12.8397;18.6348;28.6709
1.09402;2.87721;3.9481;8.93906;13.3391;18.2669;29.1874
1.59844;2.69834;4.01341;9.10436;12.9633;18.4597;28.8364
1.423;2.46401;4.55345;9.28326;12.8314;18.331;28.7546
1.62772;2.36905;3.78058;8.71212;12.8585;17.7842;28.7638
1.03889;2.19597;4.19404;8.97522;12.9111;18.2772;28.9117
1.49077;2.37605;4.26797;9.0552;12.9638;18.1955;28.3907
1.29148;2.55854;3.57083;8.90014;12.8285;18.3871;29.1392
1.20674;2.84559;4.20985;9.14779;13.0699;18.7448;29.2123
1.18172;2.70163;4.31312;9.40751;12.9039;18.6679;28.8684
1.3471;2.71382;4.71337;9.14712;12.9798;18.0528;28.7
1.18512;2.66774;4.46887;9.33692;12.9178;18.09;28.9224
1.2718;2.46054;4.16069;9.30624;13.003;18.2619;29.0969
1.15701;2.23773;3.81711;9.20795;12.7914;18.173;28.8696
1.38946;2.53232;3.9483;8.9595;13.1383;18.2023;28.7118
0.986154;2.80898;4.02827;8.90239;12.6702;18.2017;29.2859
1.26928;2.75664;4.10835;8.82234;13.0239;17.9931;28.9208
1.63185;2.89695;3.315;9.05813;13.0552;18.3609;28.7109
1.31989;2.74218;4.18969;8.63776;12.7377;17.8301;28.8526
1.13584;2.65544;4.11523;8.89449;12.8404;18.2628;29.329
1.05031;2.96707;4.00144;8.93063;12.9439;17.9948;29.2841
1.19323;2.97609;4.0314;9.60694;12.9977;17.9215;29.3161
1.00992;2.81619;4.16828;9.39613;12.8386;18.169;28.8263
1.0143;2.88931;4.12324;9.15664;12.8944;18.3241;29.1167
1.05261;3.0288;4.17716;9.14051;13.0485;18.1854;29.1303
1.00323;2.8986;3.9497;8.87552;13.2258;18.4178;29.3121
1.32964;2.96439;4.00902;9.20951;13.0334;18.2715;28.9219
1.01539;3.14666;3.97174;9.42417;12.8379;17.8293;29.0139
1.59615;2.61842;3.87606;8.89474;13.1176;18.141;29.285
1.07359;3.10455;3.64708;9.02172;13.0495;18.1532;29.2555
1.4779;2.67956;4.00363;8.67031;13.2746;17.7383;29.2598
